expected,sft_predicted,sft_reward,grpo_predicted,grpo_reward
call,call,1.0,call,1.0
fold,fold,1.0,fold,1.0
bet 24,check,-1.0,bet 24,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
raise 41,raise 41,1.0,call,-1.0
call,call,1.0,call,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
raise 89,raise 89,1.0,raise 89,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
bet 13,bet 13,1.0,bet 13,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
call,fold,-1.0,fold,-1.0
raise 30,raise 30,1.0,raise 30,1.0
raise 11,raise 11,1.0,raise 11,1.0
raise 29,raise 29,1.0,call,-1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
raise 83,raise 83,1.0,raise 83,1.0
raise 33,raise 33,1.0,raise 33,1.0
raise 93,call,-1.0,call,-1.0
call,call,1.0,call,1.0
raise 20.0,raise 20.0,1.0,fold,-1.0
raise 74,raise 74,1.0,call,-1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
raise 84,raise 84,1.0,call,-1.0
fold,fold,1.0,fold,1.0
raise 38,raise 38,1.0,raise 38,1.0
raise 10,raise 10,1.0,call,-1.0
bet 4,bet 4,1.0,bet 4,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
check,check,1.0,raise 57,-1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
raise 2.5,raise 2.5,1.0,raise 2.5,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
bet 23,bet 23,1.0,bet 23,1.0
fold,fold,1.0,call,-1.0
check,check,1.0,bet 18,-1.0
check,check,1.0,bet 34,-1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
raise 35,raise 35,1.0,raise 35,1.0
call,fold,-1.0,call,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
raise 73,fold,-1.0,call,-1.0
bet 34,bet 34,1.0,bet 34,1.0
raise 92,raise 92,1.0,raise 92,1.0
call,call,1.0,call,1.0
raise 14.0,raise 14.0,1.0,fold,-1.0
check,check,1.0,check,1.0
fold,fold,1.0,check,-1.0
check,check,1.0,check,1.0
fold,call,-1.0,fold,1.0
raise 21.0,raise 21.0,1.0,raise 21.0,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
bet 12,bet 12,1.0,bet 12,1.0
bet 13,bet 13,1.0,bet 13,1.0
check,check,1.0,check,1.0
check,raise 5.0,-1.0,check,1.0
bet 11,bet 11,1.0,bet 11,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
bet 8,bet 8,1.0,bet 8,1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
raise 86,raise 86,1.0,raise 86,1.0
raise 93,raise 93,1.0,raise 93,1.0
fold,fold,1.0,fold,1.0
call,fold,-1.0,fold,-1.0
check,check,1.0,check,1.0
bet 29,check,-1.0,check,-1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
bet 18,bet 18,1.0,bet 18,1.0
call,call,1.0,call,1.0
raise 86,raise 86,1.0,raise 37,0.1
call,fold,-1.0,call,1.0
bet 11,bet 11,1.0,check,-1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
fold,call,-1.0,call,-1.0
call,call,1.0,call,1.0
raise 82,raise 82,1.0,raise 82,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
bet 5,bet 5,1.0,bet 5,1.0
raise 32,raise 32,1.0,raise 32,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
bet 17,check,-1.0,check,-1.0
call,raise 86,-1.0,raise 37,-1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
bet 17,check,-1.0,check,-1.0
check,bet 17,-1.0,bet 17,-1.0
raise 2.0,raise 2.0,1.0,raise 2.0,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
raise 10.0,raise 10.0,1.0,call,-1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
bet 17,bet 17,1.0,bet 17,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
raise 3.0,raise 3.0,1.0,raise 3.0,1.0
raise 38,raise 38,1.0,call,-1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
call,call,1.0,raise 48,-1.0
raise 88,raise 88,1.0,raise 88,1.0
fold,fold,1.0,call,-1.0
call,call,1.0,call,1.0
raise 80,raise 80,1.0,raise 80,1.0
check,check,1.0,check,1.0
raise 38,fold,-1.0,fold,-1.0
raise 35,call,-1.0,raise 35,1.0
bet 8,check,-1.0,check,-1.0
fold,fold,1.0,fold,1.0
raise 83,raise 83,1.0,raise 83,1.0
call,raise 83,-1.0,raise 83,-1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
call,raise 88,-1.0,call,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
raise 73,raise 73,1.0,check,-1.0
raise 13,raise 13,1.0,fold,-1.0
bet 25,check,-1.0,check,-1.0
raise 37,raise 37,1.0,raise 37,1.0
check,check,1.0,check,1.0
raise 10,raise 10,1.0,raise 10,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
bet 10,check,-1.0,check,-1.0
check,check,1.0,check,1.0
raise 88,raise 88,1.0,fold,-1.0
call,call,1.0,call,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
bet 10,bet 10,1.0,bet 10,1.0
raise 92,raise 92,1.0,call,-1.0
fold,fold,1.0,fold,1.0
raise 13.0,raise 13.0,1.0,raise 13.0,1.0
raise 22,raise 22,1.0,raise 22,1.0
check,raise 5.0,-1.0,check,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
raise 45,call,-1.0,call,-1.0
bet 16,check,-1.0,check,-1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
raise 13,raise 13,1.0,raise 13,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
bet 29,bet 29,1.0,bet 29,1.0
raise 17,raise 17,1.0,raise 17,1.0
bet 17,bet 17,1.0,bet 17,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
raise 5.0,raise 3.0,0.4,raise 3.0,0.4
check,check,1.0,check,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
check,bet 10,-1.0,bet 10,-1.0
bet 29,bet 29,1.0,bet 29,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
raise 74,raise 74,1.0,raise 74,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
fold,fold,1.0,fold,1.0
fold,raise 79,-1.0,call,-1.0
fold,fold,1.0,call,-1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
bet 29,bet 29,1.0,bet 29,1.0
call,call,1.0,call,1.0
raise 84,raise 84,1.0,raise 84,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
raise 77,raise 77,1.0,raise 77,1.0
call,call,1.0,call,1.0
raise 89,raise 89,1.0,raise 89,1.0
bet 29,bet 29,1.0,check,-1.0
raise 58,raise 58,1.0,raise 58,1.0
fold,call,-1.0,fold,1.0
call,call,1.0,fold,-1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
raise 17,call,-1.0,call,-1.0
call,raise 13,-1.0,raise 13,-1.0
bet 17,bet 17,1.0,check,-1.0
fold,fold,1.0,fold,1.0
fold,call,-1.0,call,-1.0
check,check,1.0,check,1.0
call,raise 16,-1.0,call,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
fold,fold,1.0,fold,1.0
raise 95,call,-1.0,call,-1.0
check,check,1.0,check,1.0
raise 84,raise 84,1.0,raise 84,1.0
check,check,1.0,check,1.0
raise 16,call,-1.0,call,-1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
raise 77,raise 77,1.0,raise 77,1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
call,fold,-1.0,fold,-1.0
call,call,1.0,call,1.0
raise 7,raise 7,1.0,raise 7,1.0
call,call,1.0,call,1.0
raise 83,raise 83,1.0,raise 44,0.4
call,call,1.0,call,1.0
raise 16,raise 16,1.0,call,-1.0
fold,fold,1.0,fold,1.0
fold,fold,1.0,check,-1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
bet 11,bet 11,1.0,bet 11,1.0
raise 13,raise 13,1.0,raise 13,1.0
check,check,1.0,check,1.0
raise 90,raise 90,1.0,raise 90,1.0
raise 3.0,raise 3.0,1.0,raise 3.0,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
call,call,1.0,call,1.0
check,check,1.0,check,1.0
check,bet 24,-1.0,bet 24,-1.0
fold,fold,1.0,fold,1.0
raise 32,raise 32,1.0,raise 32,1.0
fold,fold,1.0,fold,1.0
bet 3,check,-1.0,bet 3,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
call,call,1.0,call,1.0
raise 18,call,-1.0,call,-1.0
check,check,1.0,check,1.0
fold,fold,1.0,fold,1.0
raise 83,raise 83,1.0,raise 44,0.4
raise 11.0,raise 11.0,1.0,raise 11.0,1.0
fold,fold,1.0,fold,1.0
check,check,1.0,check,1.0
call,call,1.0,fold,-1.0
